id,intent,text_teochew,text_zh,priority
eat_01,eat,哩食饱未？,你吃饱了吗？,high
eat_02,eat,食饱未？,吃饱了吗？,high
eat_03,eat,有食未？,吃了吗？,high
eat_04,eat,肚饿,肚子饿,medium
eat_05,eat,爱食糜未？,要吃粥吗？,medium
meds_01,meds,阿嫲爱食药未？,奶奶要吃药了吗？,high
meds_02,meds,食药未？,吃药了吗？,high
meds_03,meds,药食未？,药吃了吗？,high
meds_04,meds,爱准时食药,要按时吃药,medium
meds_05,meds,食了,吃了（续话）,high
meds_06,meds,还没食,还没吃,high
miss_01,miss_family,今日想阿公了,今天想爷爷了,high
miss_02,miss_family,想阿公,想爷爷,high
miss_03,miss_family,阿公在天顶,爷爷在天上,medium
aff_01,affection,我想你,我想你,high
aff_02,affection,我喜欢你,我喜欢你,high
aff_03,affection,你陪我,你陪我,medium
thanks_01,thanks,谢谢你陪我,谢谢你陪我,high
thanks_02,thanks,多谢,多谢,medium
thanks_03,thanks,有心,有心了,medium
weather_01,weather,今日天气怎样？,今天天气怎么样？,high
weather_02,weather,今日天时怎样？,今天天时怎么样？,high
weather_03,weather,好热,好热,high
weather_04,weather,好冷,好冷,high
weather_05,weather,有落雨未？,下雨了吗？,medium
opera_01,opera,想听潮剧,想听潮剧,high
opera_02,opera,开戏,开戏,medium
opera_03,opera,听广播,听广播,medium
health_01,health,身体有点不舒服,身体有点不舒服,high
health_02,health,头壳痛,头疼,medium
health_03,health,无要紧,没关系/没事,medium
grandson_01,grandson,孙子有无返来？,孙子有没有回来？,high
grandson_02,grandson,孙仔返来未？,孙子回来了吗？,high
grandson_03,grandson,想听留言,想听留言,medium
health_04,health,头壳痛,头疼,high
health_05,health,头痛,头痛,high
opera_04,opera,想听潮剧,想听潮剧,high
opera_05,opera,开潮剧,打开潮剧,high
grandson_04,grandson,孙仔返来未？,孙子回来了吗？,high
