id,audio_path,phrase_id,text_teochew,text_zh,intent,speaker,accent,take,noise,duration_sec,split,notes
eat_01_family1_1,audio/eat_01_family1_1.m4a,eat_01,哩食饱未？,你吃饱了吗？,eat,family1,,1,quiet,,train,initial batch rename 2026-08-08
eat_02_family1_1,audio/eat_02_family1_1.m4a,eat_02,食饱未？,吃饱了吗？,eat,family1,,1,quiet,,train,initial batch rename 2026-08-08
eat_03_family1_1,audio/eat_03_family1_1.m4a,eat_03,有食未？,吃了吗？,eat,family1,,1,quiet,,train,initial batch rename 2026-08-08
eat_04_family1_1,audio/eat_04_family1_1.m4a,eat_04,肚饿,肚子饿,eat,family1,,1,quiet,,train,initial batch rename 2026-08-08
eat_05_family1_1,audio/eat_05_family1_1.m4a,eat_05,爱食糜未？,要吃粥吗？,eat,family1,,1,quiet,,train,initial batch rename 2026-08-08
meds_01_family1_1,audio/meds_01_family1_1.m4a,meds_01,阿嫲爱食药未？,奶奶要吃药了吗？,meds,family1,,1,quiet,,train,initial batch rename 2026-08-08
meds_02_family1_1,audio/meds_02_family1_1.m4a,meds_02,食药未？,吃药了吗？,meds,family1,,1,quiet,,train,initial batch rename 2026-08-08
meds_03_family1_1,audio/meds_03_family1_1.m4a,meds_03,药食未？,药吃了吗？,meds,family1,,1,quiet,,train,initial batch rename 2026-08-08
meds_04_family1_1,audio/meds_04_family1_1.m4a,meds_04,爱准时食药,要按时吃药,meds,family1,,1,quiet,,train,initial batch rename 2026-08-08
meds_05_family1_1,audio/meds_05_family1_1.m4a,meds_05,食了,吃了（续话）,meds,family1,,1,quiet,,train,initial batch rename 2026-08-08
meds_06_family1_1,audio/meds_06_family1_1.m4a,meds_06,还没食,还没吃,meds,family1,,1,quiet,,train,initial batch rename 2026-08-08
miss_01_family1_1,audio/miss_01_family1_1.m4a,miss_01,今日想阿公了,今天想爷爷了,miss_family,family1,,1,quiet,,train,initial batch rename 2026-08-08
miss_02_family1_1,audio/miss_02_family1_1.m4a,miss_02,想阿公,想爷爷,miss_family,family1,,1,quiet,,train,initial batch rename 2026-08-08
miss_03_family1_1,audio/miss_03_family1_1.m4a,miss_03,阿公在天顶,爷爷在天上,miss_family,family1,,1,quiet,,train,initial batch rename 2026-08-08
aff_01_family1_1,audio/aff_01_family1_1.m4a,aff_01,我想你,我想你,affection,family1,,1,quiet,,train,initial batch rename 2026-08-08
aff_02_family1_1,audio/aff_02_family1_1.m4a,aff_02,我喜欢你,我喜欢你,affection,family1,,1,quiet,,train,initial batch rename 2026-08-08
aff_03_family1_1,audio/aff_03_family1_1.m4a,aff_03,你陪我,你陪我,affection,family1,,1,quiet,,train,initial batch rename 2026-08-08
thanks_01_family1_1,audio/thanks_01_family1_1.m4a,thanks_01,谢谢你陪我,谢谢你陪我,thanks,family1,,1,quiet,,train,initial batch rename 2026-08-08
thanks_02_family1_1,audio/thanks_02_family1_1.m4a,thanks_02,多谢,多谢,thanks,family1,,1,quiet,,train,initial batch rename 2026-08-08
thanks_03_family1_1,audio/thanks_03_family1_1.m4a,thanks_03,有心,有心了,thanks,family1,,1,quiet,,train,initial batch rename 2026-08-08
weather_01_family1_1,audio/weather_01_family1_1.m4a,weather_01,今日天气怎样？,今天天气怎么样？,weather,family1,,1,quiet,,train,initial batch rename 2026-08-08
weather_02_family1_1,audio/weather_02_family1_1.m4a,weather_02,今日天时怎样？,今天天时怎么样？,weather,family1,,1,quiet,,train,initial batch rename 2026-08-08
weather_03_family1_1,audio/weather_03_family1_1.m4a,weather_03,好热,好热,weather,family1,,1,quiet,,train,initial batch rename 2026-08-08
weather_04_family1_1,audio/weather_04_family1_1.m4a,weather_04,好冷,好冷,weather,family1,,1,quiet,,train,initial batch rename 2026-08-08
weather_05_family1_1,audio/weather_05_family1_1.m4a,weather_05,有落雨未？,下雨了吗？,weather,family1,,1,quiet,,train,initial batch rename 2026-08-08
opera_01_family1_1,audio/opera_01_family1_1.m4a,opera_01,想听潮剧,想听潮剧,opera,family1,,1,quiet,,train,initial batch rename 2026-08-08
opera_02_family1_1,audio/opera_02_family1_1.m4a,opera_02,开戏,开戏,opera,family1,,1,quiet,,train,initial batch rename 2026-08-08
opera_03_family1_1,audio/opera_03_family1_1.m4a,opera_03,听广播,听广播,opera,family1,,1,quiet,,train,initial batch rename 2026-08-08
health_01_family1_1,audio/health_01_family1_1.m4a,health_01,身体有点不舒服,身体有点不舒服,health,family1,,1,quiet,,train,initial batch rename 2026-08-08
health_02_family1_1,audio/health_02_family1_1.m4a,health_02,头壳痛,头疼,health,family1,,1,quiet,,train,initial batch rename 2026-08-08
health_03_family1_1,audio/health_03_family1_1.m4a,health_03,无要紧,没关系/没事,health,family1,,1,quiet,,train,initial batch rename 2026-08-08
grandson_01_family1_1,audio/grandson_01_family1_1.m4a,grandson_01,孙子有无返来？,孙子有没有回来？,grandson,family1,,1,quiet,,train,initial batch rename 2026-08-08
grandson_02_family1_1,audio/grandson_02_family1_1.m4a,grandson_02,孙仔返来未？,孙子回来了吗？,grandson,family1,,1,quiet,,train,initial batch rename 2026-08-08
grandson_03_family1_1,audio/grandson_03_family1_1.m4a,grandson_03,想听留言,想听留言,grandson,family1,,1,quiet,,train,initial batch rename 2026-08-08
